Distance (ly),Distance (ly) adj,Constellation,RA,Dec,Stellarclass,Mass,Apparent magnitude (v),Apparent magnitude (j),Parallax(mas),Parallax(mas) adj,System,StarName,Notes and additional references,Planets
21.0832,±0.0061,Virgo,12h 18m 59.4s,+11° 07′ 34″,M5Ve,,13.79,,154.6999,±0.0445,GL Virginis (G 12-30),,flare star, has 1 known planet
21.1309,±0.0022,Draco,16h 25m 24.6s,+54° 18′ 15″,M2.0V,,10.17,,154.3503,±0.0161,"Gliese 625 (AC 54 1646-56, G 202-48)",,,
21.1961,±0.0065,Ophiuchus,16h 55m 25.2s,−08° 19′ 21″,M3 V,,9.74,,153.8754,±0.0474,V1054 Ophiuchi (HD 152751),Gliese 644 A,components Ab and Ac are flare stars,
,,,,,M4 Ve,,10.34,,,,V1054 Ophiuchi (HD 152751),Gliese 644 Ba,,
,,,,,M4 Ve,,10.84,,,,V1054 Ophiuchi (HD 152751),Gliese 644 Bb,,
,,,,,M3.5 V,,11.74,,,,V1054 Ophiuchi (HD 152751),Gliese 643,,
,,,,,M7.0 V,,16.80,,,,V1054 Ophiuchi (HD 152751),vB 8 (Gliese 644 C),,
21.2121,±0.0034,Carina,09h 42m 46.3s,−68° 53′ 06″,M4.0V,,12.78,,153.7593,±0.0249,GJ 1128 (L 100-115),,,
21.3364,±0.0069,Cassiopeia,23h 13m 17.0s,+57° 10′ 06″,K3V,,5.574#,,152.8640,±0.0494,"HR 8832 (HD 219134, Gliese 892)$",,, has 6 known planets
21.37,±0.28,Cancer,08h 25m 07.4s,+28° 05′ 49″,Y0.5,,,,152.6,±2.0,WISE 0825+2805§,,,
21.56,±0.29,Taurus*,04h 10m 22.8s,+15° 02′ 47″,Y0,,,,151.3,±2.0,WISE 0410+1502§,,,
21.71,±0.44,Orion,05h 21m 26.4s,+10° 25′ 27″,T7.5,,,,150.2,±3.0,WISE J0521+1025§,,,
21.7324,±0.0047,Centaurus,12h 38m 49.1s,−38° 22′ 53″,M4.5V:,,12.74,,150.0781,±0.0322,"GJ 3737 (LHS 337, L 471-42)",,,
22.0081,±0.0038,Leo,11h 00m 04.3s,+22° 49′ 59″,M3.0V,,10.02,,148.1986,±0.0253,Gliese 408 (Ross 104),A,,
,,,,,M,,,,,,Gliese 408 (Ross 104),B,,
22.0109,±0.0081,Boötes,14h 51m 23.4s,+19° 06′ 02″,G8Ve,,4.70#,,148.1793,±0.0546,Xi Boötis,A$,BY Draconis variable,
,,,,,K4Ve,,6.97,,,,Xi Boötis,B$,,
22.079,±0.014,Cancer,08h 11m 57.6s,+08° 46′ 22″,M4.5V,,12.83,,147.7218,±0.0950,Gliese 299 (Ross 619),,,
22.08,±0.30,Cancer,08h 58m 56.3s,+08° 28′ 26″,M3.5V,,10.92,,147.66,±1.98,GJ 3522 (G 41-14),A,,
,,,,,M,,,,,,GJ 3522 (G 41-14),B,,
,,,,,M,,,,,,GJ 3522 (G 41-14),C,,
22.1129,±0.0039,Pegasus,21h 29m 36.8s,+17° 38′ 36″,M3+M,,10.30,,147.4958,±0.0257,Gliese 829 (Ross 775),A,,
,,,,,M,,,,,,Gliese 829 (Ross 775),B,,
22.17,±0.18,Monoceros,07h 20m 03.3s,−08° 46′ 50″,M9.5,,18.3,,147.1,±1.2,Scholz's Star,A,"passed through the Solar System's Oort Cloud 70,000 years ago",
,,,,,T5.5,,,,,,Scholz's Star,B§,,
22.28,±0.18,Vulpecula*,19h 28m 41.5s,+23° 56′ 02″,T6,,,,146.4067,±1.2001,WISE 1928+2356,A§,,
,,,,,,,,,,,WISE 1928+2356,B§,,
22.32,±0.23,Cetus,02h 54m 09.6s,+02° 23′ 59″,T8,,,,146.1,±1.5,WISE J0254+0223§,,,
22.3867,±0.0037,Eridanus,03h 01m 51.4s,−16° 35′ 36″,M3.0,,11.22,,145.6922,±0.0244,LTT 1445 (BD-17 588),A,,has 1 known planet orbiting star A
,,,,,M3.5,,11.37,,,,LTT 1445 (BD-17 588),B,,
,,,,,M,,,,,,LTT 1445 (BD-17 588),C,,
22.3973,±0.0039,Pegasus,22h 56m 34.8s,+16° 33′ 12″,M2.0V,,8.64,,145.6234,±0.0254,Gliese 880 (HD 216899),,,has 1 candidate planet
,+2.6−2.0,Ursa Major,10h 55m 12.1s,+54° 43′ 28″,Y0 (pec),,,,145.0,±14.7,CWISE J1055+5443§,,possibly a young low mass object (4−6 MJ),
22.7225,±0.0045,Leo,10h 50m 52.0s,+06° 48′ 29.2″,M5.0V,,11.68,,143.5391,±0.0286,"Gliese 402 (EE Leonis, Wolf 358)",,BY Draconis variable member of the Hercules-Lyra association,
22.9534,±0.0034,Sextans,10h 28m 55.6s,+00° 50′ 28″,M2.5V,,9.65,,142.0951,±0.0212,Gliese 393 (BD+01 2447),,Member of the AB Doradus moving group, has 1 candidate planet
22.96,±0.0026,Cepheus,20h 53m 19.8s,+62° 09′ 16″,M2.0V,,8.60,,142.0543,±0.0160,Gliese 809 (HD 199305),A,,
,,,,,M,,,,,,Gliese 809 (HD 199305),B,,
22.9858,±0.0034,Cygnus,21h 46m 22.1s,+38° 13′ 05″,M5V,,,,141.8946,±0.0212,LSPM J2146+3813 (UCAC4 642-113039),,,
23.003,±0.010,Hydra,14h 56m 38.3s,−28° 09′ 47″,M7.0V,,17.14,,141.7891,±0.0617,"LHS 3003 (GJ 3877, LP 914-54)",,,
23.16,±0.33,Delphinus*,20h 56m 28.9s,+14° 59′ 54″,Y0,,,,140.8,±2.0,WISE 2056+1459§,,,
23.1816,±0.0035,Dorado*,04h 10m 28.1s,−53° 36′ 08″,M4.5,,13.58,,140.6961,±0.0214,GJ 1068 (L 230-188),,,
23.23,±0.35,Andromeda,00h 49m 45.6s,+21° 51′ 20″,T8.5,,,,140.4,±2.1,WISE J004945.61+215120.0§,,,
23.4074,±0.0074,Pisces,23h 35m 10.5s,−02° 23′ 21″,M5.5V,,14.69,,139.3389,±0.0441,GJ 1286 (G 157-77),,,
23.5599,±0.0071,Cetus,02h 36m 04.9s,+06° 53′ 13″,K3V,,5.82#,,138.4371,±0.0420,"Gliese 105 (268 G. Ceti, HD 16160)",A$,star B is a BY Draconis variable,
,,,,,M4.5V,,11.66,,,,"Gliese 105 (268 G. Ceti, HD 16160)",B,,
,,,,,M6V,,16.9,,,,"Gliese 105 (268 G. Ceti, HD 16160)",C,,
23.581,±0.037,Hydra,08h 35m 42.6s,−08° 19′ 24″,L5,,,,138.3147,±0.2145,2MASS J08354256-0819237§,,,
23.5955,±0.0082,Aquarius,22h 23m 07.0s,−17° 36′ 26″,M4.5Ve,,13.30,,138.2280,±0.0482,GJ 4274 (L 788-34),,,
23.6232,±0.0048,Scorpius,17h 18m 57.2s,−34° 59′ 23″,K3V,,7.07,,138.0663,±0.0283,Gliese 667 (142 G. Scorpii),A$,,star C has 2 known planets
,,,,,K5V,,8.02,,,,Gliese 667 (142 G. Scorpii),B$,,
,,,,,M1.5V,,11.03,,,,Gliese 667 (142 G. Scorpii),C,,
23.624,±0.089,Gemini,06h 07m 38.7s,+24° 29′ 54″,L8,,14.22 ± 0.03 (J),,138.0616,±0.5185,WISE 0607+2429§,,,
24.05,±0.51,Cepheus,03h 13m 26.0s,+78° 07′ 44″,T8.5,,,,135.6,±2.8,WISE 0313+7807§,,,
24.169,±0.047,Libra,15h 07m 47.7s,−16° 27′ 389″,L5.5,,22.14,,134.9474,±0.2611,2MASS 1507-1627§,,,
24.25,±0.010,Pisces,00h 48m 23.0s,+05° 16′ 50″,K2.5V,,5.75#,,134.4948,±0.0578,"HD 4628 (96 G. Piscium, Gliese 33)$",,,
24.327,±0.020,Hydrus,00h 25m 45.1s,–77° 15′ 15″,G2IV,,2.79#,,134.07,±0.11,Beta Hydri$,,,
24.45,±0.41,Cygnus,20h 00m 50.2s,+36° 29′ 50″,T8,,,,133.4,±2.2,WISE J2000+3629§,,,
24.784,±0.081,Hercules,17h 09m 32.0s,+43° 40′ 49″,M3.5V,,13671,,131.5996,±0.4285,GJ 3991 (G 203-47),A,,
,,,,,D?,,,,,,GJ 3991 (G 203-47),B,,
24.7929,±0.0052,Piscis Austrinus,22h 56m 24.17s,−31° 33′ 56″,K5Vp,,6.48#,,131.5525,±0.0275,Alpha Piscis Austrini,B (TW PsA)$,component B of triple system,
24.805,±0.029,Pisces,01h 42m 29.8s,+20° 16′ 07″,K1V,,5.24#,,131.4903,±0.1515,107 Piscium$,,,
24.8445,±0.0075,Aquila,18h 48m 17.5s,+07° 41′ 21″,M6V,,,,131.2790,±0.0398,G 141-36,,,
24.8782,±0.0051,Virgo,13h 29m 59.8s,+10° 22′ 38″,M1.0V,,9.02,,131.1013,±0.0270,Gliese 514 (BD+11 2576),,,has 1 planet  confirmed in 2022.
24.92,±0.41,Hercules,17h 38m 35.5s,+27° 32′ 59″,Y0,,,,130.9,±2.1,WISE 1738+2732§,,,
24.9254,±0.0041,Draco,18h 18m 57.2s,+66° 11′ 33″,M4.5V,,13.46,,130.8531,±0.0217,GJ 4053 (G 258-33),,,
24.97,±0.65,Pisces,23h 54m 02.8s,+02° 40′ 14″,Y1,,,,130.6,±3.3,WISEA 2354+0240§,,,
